,gene
0,AARSD1
1,AATBC
2,ABCA13
3,ABCA2
4,ABCB1
5,ABCB9
6,ABCC1
7,ABCC3
8,ABCC4
9,ABHD15
10,ABHD17A
11,ABLIM1
12,ABLIM3
13,ABTB1
14,ACAP1
15,ACD
16,ACRBP
17,ACSL1
18,ACSM3
19,ACTB
20,ACTG1
21,ACTN1
22,ACTR2
23,ACVR2A
24,ACY1
25,ACY3
26,ADAM15
27,ADAM19
28,ADAM28
29,ADAM33
30,ADAMTS10
31,ADCY4
32,ADGRA3
33,ADGRE1
34,ADGRE2
35,ADGRE3
36,ADGRE5
37,ADGRG1
38,ADGRG3
39,ADGRG5
40,ADGRG6
41,ADK
42,ADM
43,ADPRS
44,ADSS2
45,AEBP1
46,AFF2
47,AFF3
48,AGFG1
49,AHI1
50,AHNAK
51,AHR
52,AIF1
53,AJAP1
54,AJM1
55,AKAP12
56,AKR1C3
57,AKT1S1
58,ALCAM
59,ALDH1A1
60,ALDH1A2
61,ALDH2
62,ALDH3B1
63,ALOX12
64,ALOX15
65,ALOX5
66,ALOX5AP
67,ALPK1
68,ALPL
69,ALS2
70,AMMECR1L
71,AMOTL1
72,AMPD2
73,AMPD3
74,ANGPT1
75,ANK3
76,ANKMY2
77,ANKRD18A
78,ANKRD22
79,ANKRD28
80,ANKRD33B
81,ANKRD36BP2
82,ANKRD39
83,ANKRD49
84,ANO6
85,ANP32E
86,ANPEP
87,ANXA1
88,ANXA2
89,ANXA2R-AS1
90,ANXA3
91,ANXA5
92,ANXA6
93,AP1S2
94,AP2S1
95,AP5B1
96,APBB1
97,APLP2
98,APMAP
99,APOBEC3A
100,APOBEC3G
101,APOBR
102,APOC1
103,APOO
104,APP
105,AQP10
106,AQP3
107,AQP9
108,AR
109,ARAP1
110,ARFGEF1
111,ARG1
112,ARHGAP18
113,ARHGAP21
114,ARHGAP22
115,ARHGAP24
116,ARHGAP30
117,ARHGAP31
118,ARHGAP35
119,ARHGAP4
120,ARHGAP6
121,ARHGAP9
122,ARHGDIB
123,ARHGEF10L
124,ARHGEF12
125,ARHGEF17
126,ARHGEF3
127,ARHGEF40
128,ARL14EP
129,ARL4C
130,ARL6IP1
131,ARL6IP6
132,ARMH1
133,ARPC2
134,ARPC5L
135,ARPIN
136,ARRB2
137,ASAH1
138,ASAP2
139,ASGR1
140,ASGR2
141,ASIP
142,ASPM
143,ASRGL1
144,ATAD2
145,ATF3
146,ATF7IP2
147,ATG16L2
148,ATG4D
149,ATM
150,ATP10D
151,ATP1A2
152,ATP1B1
153,ATP5MC2
154,ATP6V0A2
155,ATP6V0B
156,ATP8B2
157,ATP8B4
158,ATXN1
159,AURKB
160,AVP
161,AXL
162,AZU1
163,B2M
164,B3GAT1
165,B4GALNT3
166,B4GALT5
167,BAALC
168,BACE2
169,BACH2
170,BAG1
171,BAIAP3
172,BANK1
173,BASP1
174,BATF
175,BATF3
176,BCAT1
177,BCL11A
178,BCL11B
179,BCL2
180,BCL2A1
181,BCL2L15
182,BCL6
183,BCL7A
184,BCL9L
185,BEND2
186,BEND5
187,BEX3
188,BEX4
189,BHLHA15
190,BHLHE40
191,BIK
192,BIN1
193,BIN2
194,BIRC3
195,BIRC5
196,BLK
197,BLNK
198,BLVRB
199,BMP6
200,BMP8B
201,BMX
202,BOD1L1
203,BOLA3-DT
204,BORCS5
205,BPI
206,BRI3
207,BRIP1
208,BSPRY
209,BST1
210,BTBD3
211,BTG1
212,BTG2
213,BTK
214,BTLA
215,BTNL8
216,BUB1
217,C12orf29
218,C12orf57
219,C12orf75
220,C16orf74
221,C19orf33
222,C19orf38
223,C1QA
224,C1QTNF4
225,C1orf159
226,C1orf162
227,C1orf21
228,C1orf54
229,C20orf96
230,C21orf58
231,C2orf88
232,C3
233,C3AR1
234,C3orf80
235,C5AR1
236,C9orf43
237,CA2
238,CA4
239,CA8
240,CABP4
241,CABP5
242,CACNA2D3
243,CACNG6
244,CACNG8
245,CALCRL
246,CALD1
247,CALHM6
248,CALM1
249,CALML4
250,CALN1
251,CALR
252,CAMK1
253,CAMK1D
254,CAMK4
255,CAMKK2
256,CAMP
257,CAP1
258,CAPG
259,CAPN1-AS1
260,CAPN12
261,CAPN3
262,CARMIL2
263,CASC15
264,CASP3
265,CASP4LP
266,CAV2
267,CAVIN1
268,CAVIN2
269,CBFA2T3
270,CBLB
271,CBX2
272,CBX5
273,CCDC107
274,CCDC125
275,CCDC126
276,CCDC149
277,CCDC167
278,CCDC171
279,CCDC18-AS1
280,CCDC183
281,CCDC200
282,CCDC32
283,CCDC50
284,CCDC88A
285,CCDC92
286,CCL3
287,CCL3L3
288,CCL4
289,CCL4L2
290,CCL5
291,CCNA2
292,CCNB1
293,CCNB2
294,CCND2
295,CCNE2
296,CCR1
297,CCR2
298,CCR3
299,CCR5
300,CCR5AS
301,CCR6
302,CCR7
303,CCSER1
304,CD109
305,CD14
306,CD151
307,CD160
308,CD163
309,CD177
310,CD180
311,CD19
312,CD1C
313,CD1D
314,CD1E
315,CD2
316,CD200
317,CD200R1
318,CD22
319,CD226
320,CD24
321,CD244
322,CD247
323,CD27
324,CD28
325,CD2AP
326,CD300C
327,CD300E
328,CD300H
329,CD302
330,CD320
331,CD33
332,CD34
333,CD36
334,CD37
335,CD38
336,CD3D
337,CD3E
338,CD3G
339,CD4
340,CD40
341,CD40LG
342,CD44
343,CD48
344,CD5
345,CD52
346,CD59
347,CD6
348,CD68
349,CD69
350,CD7
351,CD72
352,CD74
353,CD79A
354,CD79B
355,CD81
356,CD84
357,CD86
358,CD8A
359,CD8B
360,CD9
361,CD93
362,CD96
363,CD99
364,CDA
365,CDC20
366,CDC25B
367,CDC42-AS1
368,CDC42BPA
369,CDC42EP1
370,CDC42EP3-AS1
371,CDC42EP4
372,CDC42SE1
373,CDC45
374,CDC6
375,CDCA5
376,CDCA7
377,CDCA7L
378,CDCA8
379,CDH1
380,CDH23
381,CDHR5
382,CDK1
383,CDK15
384,CDK2AP1
385,CDK2AP2
386,CDK6
387,CDK6-AS1
388,CDKN1A
389,CDKN1C
390,CDKN3
391,CDT1
392,CEACAM1
393,CEACAM3
394,CEACAM6
395,CEACAM8
396,CEBPA
397,CEBPB
398,CEBPD
399,CEBPE
400,CENPB
401,CENPE
402,CENPF
403,CENPM
404,CENPN
405,CENPU
406,CENPW
407,CEP128
408,CEP55
409,CEP78
410,CERK
411,CFD
412,CFL1
413,CFLAR
414,CFP
415,CHAF1A
416,CHCHD2
417,CHD6
418,CHEK1
419,CHI3L1
420,CHIT1
421,CHKA
422,CHMP4C
423,CHMP7
424,CHPF
425,CHPT1
426,CHRM3
427,CHRM3-AS2
428,CHST12
429,CHST2
430,CIB2
431,CIITA
432,CISD1
433,CISH
434,CIT
435,CITED4
436,CKAP2L
437,CKAP4
438,CKB
439,CKS1B
440,CLC
441,CLCN5
442,CLDN5
443,CLDND1
444,CLEC10A
445,CLEC11A
446,CLEC12A
447,CLEC17A
448,CLEC1B
449,CLEC2D
450,CLEC4C
451,CLEC4D
452,CLEC4E
453,CLEC4F
454,CLEC4OP
455,CLEC5A
456,CLEC7A
457,CLEC9A
458,CLIC2
459,CLIC3
460,CLIC4
461,CLINT1
462,CLIP2
463,CLMN
464,CLNK
465,CLPB
466,CLSPN
467,CLTCL1
468,CLU
469,CMBL
470,CMC1
471,CMKLR1
472,CMTM2
473,CMTM5
